Complexity	Model	Value	Type
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.703703703703704	AUROC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.456103617222638	AUPRC
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.669697988112188	Weighted LogLoss
1_modality	Clinical	0.756613756613757	AUROC
1_modality	Clinical	0.488410972408817	AUPRC
1_modality	Clinical	0.594100254985976	Weighted LogLoss
2_modality	ClinicalTranscriptomics	0.754807692307692	AUROC
2_modality	ClinicalTranscriptomics	0.53021517515052	AUPRC
2_modality	ClinicalTranscriptomics	0.597853350683091	Weighted LogLoss
3_modality	ClinicalTranscriptomicsProteomics	0.759615384615385	AUROC
3_modality	ClinicalTranscriptomicsProteomics	0.567841092879983	AUPRC
3_modality	ClinicalTranscriptomicsProteomics	0.613596189864412	Weighted LogLoss
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.764423076923077	AUROC
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.574129179010645	AUPRC
4_modality	ClinicalTranscriptomicsProteomicsOlink	0.607843240119576	Weighted LogLoss
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.751322751322751	AUROC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.51171135120715	AUPRC
5_modality	ClinicalTranscriptomicsProteomicsMetabolomicsBiocOlink	0.646143912780415	Weighted LogLoss
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.730769230769231	AUROC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.389700362903782	AUPRC
6_modality	ClinicalTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.618325283796389	Weighted LogLoss
7_modality	ClinicalMethylomicsTranscriptomicsProteomicsMetabolomicsMetbMetabolomicsBiocOlink	0.777777777777778	AUROC
